date,rank,title,author,last_week,peak,total_week
2021-11-14,1,Easy On Me,Adele,1,1,5
2021-11-14,2,Stay,The Kid LAROI & Justin Bieber,2,1,18
2021-11-14,3,Industry Baby,Lil Nas X & Jack Harlow,3,1,16
2021-11-14,4,Bad Habits,Ed Sheeran,4,2,20
2021-11-14,5,Shivers,Ed Sheeran,6,5,9
2021-11-14,6,One Right Now,Post Malone & The Weeknd,NEW,Post Malone & The Weeknd,-
2021-11-14,7,Fancy Like,Walker Hayes,5,3,21
2021-11-14,8,Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),NEW,Silk Sonic (Bruno Mars & Anderson .Paak),-
2021-11-14,9,Need To Know,Doja Cat,8,8,22
2021-11-14,10,Heat Waves,Glass Animals,10,10,43
2021-11-14,11,Escape Plan,Travis Scott,NEW,Travis Scott,-
2021-11-14,12,Way 2 Sexy,Drake Featuring Future & Young Thug,7,1,10
2021-11-14,13,No Love,Summer Walker & SZA,NEW,Summer Walker & SZA,-
2021-11-14,14,Cold Heart (PNAU Remix),Elton John & Dua Lipa,14,14,10
2021-11-14,15,Good 4 U,Olivia Rodrigo,9,1,26
2021-11-14,16,Essence,Wizkid Featuring Justin Bieber & Tems,12,9,19
2021-11-14,17,Beggin',Maneskin,13,13,20
2021-11-14,18,Levitating,Dua Lipa,11,2,58
2021-11-14,19,You Right,Doja Cat & The Weeknd,16,11,20
2021-11-14,20,Kiss Me More,Doja Cat Featuring SZA,15,3,31
2021-11-14,21,If I Didn't Love You,Jason Aldean & Carrie Underwood,18,15,16
2021-11-14,22,Save Your Tears,The Weeknd & Ariana Grande,17,1,48
2021-11-14,23,Knife Talk,Drake Featuring 21 Savage & Project Pat,22,4,10
2021-11-14,24,Chasing After You,Ryan Hurd With Maren Morris,25,23,28
2021-11-14,25,Bitter,Summer Walker & Cardi B,NEW,Summer Walker & Cardi B,-
2021-11-14,26,Mafia,Travis Scott,NEW,Travis Scott,-
2021-11-14,27,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,21,21,9
2021-11-14,28,Girls Want Girls,Drake Featuring Lil Baby,26,2,10
2021-11-14,29,Better Days,NEIKED X Mae Muller X Polo G,29,29,4
2021-11-14,30,Buy Dirt,Jordan Davis Featuring Luke Bryan,31,30,14
2021-11-14,31,Happier Than Ever,Billie Eilish,28,11,15
2021-11-14,32,Love Nwantiti (Ah Ah Ah),CKay,33,31,8
