,date,rank,song,artist,last-week,peak-rank,max-weeks-on-board
0,1990-08-11,91,"""B"" Girls",Young And Restless,83.0,54,15.0
1,1973-05-19,51,"""Cherry Cherry"" from Hot August Night",Neil Diamond,31.0,31,10.0
2,1973-12-08,62,"""Having A Party"" Medley",The Ovations (Featuring Louis Williams),56.0,56,9.0
3,1974-02-16,42,"""Joy"" Pt. I",Isaac Hayes,30.0,30,9.0
4,1977-04-16,83,"""Roots"" Medley",Quincy Jones,57.0,57,7.0
5,1959-05-25,78,"""Yep!""",Duane Eddy His Twangy Guitar And The Rebels,55.0,30,9.0
6,2002-03-02,72,#1,Nelly,63.0,22,20.0
7,1978-12-16,99,#1 Dee Jay,Goody Goody,99.0,82,5.0
8,1975-03-08,47,#9 Dream,John Lennon,13.0,9,12.0
9,2013-09-07,95,#Beautiful,Mariah Carey Featuring Miguel,86.0,15,16.0
10,2014-05-24,95,#SELFIE,The Chainsmokers,79.0,16,11.0
11,2013-07-20,85,#thatPOWER,will.i.am Featuring Justin Bieber,71.0,17,16.0
12,2016-03-19,89,$ave Dat Money,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,95.0,71,19.0
13,2003-03-29,46,'03 Bonnie & Clyde,Jay-Z Featuring Beyonce Knowles,37.0,4,23.0
14,1982-07-10,100,'65 Love Affair,Paul Davis,95.0,6,20.0
15,2023-04-23,98,'98 Braves,Morgan Wallen,100,27,7.0
16,1998-10-17,99,'98 Thug Paradise,"Tragedy, Capone, Infinite",91.0,86,5.0
17,1996-04-13,100,'Round We Go,Big Sister,91.0,91,2.0
18,1962-01-27,60,'Til,The Angels,38.0,14,14.0
19,1985-06-29,99,'Til My Baby Comes Home,Luther Vandross,84.0,29,16.0
20,2010-05-15,94,'Til Summer Comes Around,Keith Urban,82.0,58,16.0
21,2022-06-19,45,'Til You Can't,Cody Johnson,43,18,36.0
22,1995-12-02,49,'Til You Do Me Right,After 7,44.0,31,22.0
23,2021-01-02,91,'Tis The Damn Season,Taylor Swift,39.0,39,2.0
24,1976-05-29,84,'til I Can Make It On My Own,Tammy Wynette,84.0,84,5.0
25,1976-03-06,93,'til It's Time To Say Goodbye,Jonathan Cain,44.0,44,9.0
26,1959-11-30,80,('til) I Kissed You,The Everly Brothers,45.0,4,16.0
27,1968-03-09,97,(1-2-3-4-5-6-7) Count The Days,Inez & Charlie Foxx,,76,5.0
28,1961-05-15,97,(A Ship Will Come) Ein Schiff Wird Kommen,Lale Anderson,88.0,88,4.0
29,1975-10-04,66,(All I Have To Do Is) Dream,The Nitty Gritty Dirt Band,67.0,66,6.0
30,1965-12-11,49,(All Of A Sudden) My Heart Sings,Mel Carter,38.0,38,7.0
